player,team,minutes_per_game,free_throw_pct,avg_rebounds,average_assists,personal_fouls,pts,season
Quincy Acy,NYK,22.2,0.846,6,1.3,2.9,5.1,2014-2015
Jordan Adams,MEM,10.3,0.75,0.8,1.3,1,1.5,2014-2015
Steven Adams,OKC,26.6,0.521,6.6,0.9,3.4,8.3,2014-2015
Arron Afflalo,DEN,30.6,0.871,3.2,1.6,2.1,13.8,2014-2015
Alexis Ajinca,NOP,12.7,0.8,3.6,0.3,2.8,4.8,2014-2015
Cole Aldrich,NYK,10.3,1,3.4,0.7,2.3,2.2,2014-2015
LaMarcus Aldridge,POR,34.8,0.848,8.8,2.4,1.6,22.2,2014-2015
Lavoy Allen,IND,22.6,0.875,7.6,1.3,2.2,6.9,2014-2015
Tony Allen,MEM,26.7,0.619,4.5,1.8,3.4,7.3,2014-2015
Al-Farouq Aminu,DAL,16.5,0.615,4.2,0.5,1.7,5.1,2014-2015
Louis Amundson,CLE,7.5,0.5,2.3,0.5,1.5,1.8,2014-2015
Chris Andersen,MIA,15.8,0.444,2.9,0.4,1.4,2.2,2014-2015
Alan Anderson,BRK,18.5,0.727,2.4,0.6,2.2,4.1,2014-2015
Kyle Anderson,SAS,13.1,0.667,2.4,1,1.1,0.9,2014-2015
Ryan Anderson,NOP,27.8,0.8,5.2,0.7,2.2,15.3,2014-2015
Giannis Antetokounmpo,MIL,26.7,0.738,5.5,1.8,2.3,11.8,2014-2015
Carmelo Anthony,NYK,34.5,0.763,5.8,3.2,2.7,23.2,2014-2015
Joel Anthony,DET,7.1,0,1.9,0.1,1.3,0.8,2014-2015
Pero Antic,ATL,16.5,0.727,3,0.7,1.9,4.8,2014-2015
Trevor Ariza,HOU,36.1,0.868,5.6,2.6,2.4,13.6,2014-2015
Darrell Arthur,DEN,15.5,0.786,3.6,1.1,2.5,7.1,2014-2015
Omer Asik,NOP,27.1,0.548,9.7,1.3,2.8,8.3,2014-2015
D.J. Augustin,DET,22.6,0.828,2,3,1.4,10.1,2014-2015
Jeff Ayres,SAS,8.4,1,2.6,0.5,1.6,1.8,2014-2015
Luke Babbitt,NOP,12.9,NA,1.8,0.7,1.7,2.2,2014-2015
Cameron Bairstow,CHI,7.5,0.5,0.8,0.3,1.3,0.8,2014-2015
Leandro Barbosa,GSW,15.4,0.667,1.5,1.5,1.8,6.3,2014-2015
Jose Barea,DAL,16.6,0.818,1.6,4.4,1.5,8.1,2014-2015
Harrison Barnes,GSW,29.6,0.8,5.8,1.5,1.8,11.1,2014-2015
Matt Barnes,LAC,25.3,0.706,2.1,0.5,2.6,7.8,2014-2015
Will Barton,POR,10.4,0.4,0.8,0.8,1.1,2.7,2014-2015
Brandon Bass,BOS,18.5,0.889,3.4,1,1.5,8.3,2014-2015
Nicolas Batum,POR,31.9,0.9,6.8,5,2.1,9,2014-2015
Jerryd Bayless,MIL,17.6,0.96,1.5,2,1.9,5.9,2014-2015
Aron Baynes,SAS,16.5,0.765,4.8,0.8,2.7,6.4,2014-2015
Kent Bazemore,ATL,11.1,0.5,1.4,0.7,1.4,1.9,2014-2015
Bradley Beal,WAS,31.5,0.778,4,3.5,3.8,15.8,2014-2015
Marco Belinelli,SAS,15.4,0.714,2,1.6,1.2,6,2014-2015
Anthony Bennett,MIN,17.3,0.688,3.5,1.1,1.8,7.5,2014-2015
Patrick Beverley,HOU,29.7,0.571,4.3,2.1,3.4,12.6,2014-2015
Bismack Biyombo,CHO,13.4,0.611,5.3,0.3,1.6,3.9,2014-2015
Tarik Black,HOU,16,0.4,4.8,0.2,2.3,3.7,2014-2015
DeJuan Blair,WAS,3.7,NA,0.3,0.3,1.7,0.7,2014-2015
Steve Blake,POR,22.2,0.833,2.4,4.4,1.8,4.7,2014-2015
Eric Bledsoe,PHO,30.8,0.789,5.4,5.5,2.7,14.2,2014-2015
Bojan Bogdanovic,BRK,30.7,0.889,2.7,0.9,1.5,9.9,2014-2015
Andrew Bogut,GSW,25.8,0.545,9.2,2.9,2.9,8,2014-2015
Matt Bonner,SAS,18.1,1,2.1,1.1,2,6.6,2014-2015
Trevor Booker,UTA,20.4,0.586,4,1.1,1.9,7.9,2014-2015
Carlos Boozer,LAL,27.5,0.697,6.5,1.7,3.4,13.3,2014-2015
Chris Bosh,MIA,35.1,0.833,8.8,2.4,1.6,21.7,2014-2015
Avery Bradley,BOS,30.8,0.818,2.6,1,2.3,14.1,2014-2015
Elton Brand,ATL,10.5,0.25,1.5,1,0.5,3.5,2014-2015
Corey Brewer,MIN,24.8,0.652,2.9,1.9,2.2,10.3,2014-2015
Aaron Brooks,CHI,20.5,0.8,1.5,3.1,2.5,10.9,2014-2015
Markel Brown,BRK,3,NA,0,0,0,3,2014-2015
Shannon Brown,MIA,17.8,0.75,0.2,0.6,1.6,4,2014-2015
Kobe Bryant,LAL,35.7,0.79,5.1,4.2,2.2,26.7,2014-2015
Chase Budinger,MIN,11.1,0.889,2.2,0.2,0.4,3.6,2014-2015
Reggie Bullock,LAC,10,NA,1.3,0.3,0.6,2.9,2014-2015
Trey Burke,UTA,32.3,0.826,2.2,5.8,1.8,11.1,2014-2015
Alec Burks,UTA,33.7,0.862,4.5,2.9,2.4,12.6,2014-2015
Caron Butler,DET,26.6,0.882,4.3,0.7,1.9,7.9,2014-2015
Jimmy Butler,CHI,39.2,0.822,6.1,3.2,2.2,21.6,2014-2015
Rasual Butler,WAS,15.4,1,1.4,0.9,1.6,7.2,2014-2015
Bruno Caboclo,TOR,12,NA,1,0,1,8,2014-2015
Nick Calathes,MEM,8,NA,1,0,0,0,2014-2015
Jose Calderon,NYK,23.5,1,2,4,0.5,6,2014-2015
Kentavious Caldwell-Pope,DET,33.1,0.591,3.1,1.1,2.2,10.9,2014-2015
Isaiah Canaan,HOU,21.8,0.769,1.5,1.7,1.8,8.1,2014-2015
Clint Capela,HOU,6,0,3,1,1,0,2014-2015
DeMarre Carroll,ATL,33.8,0.696,6.4,1.4,3.1,11.6,2014-2015
Vince Carter,MEM,16.2,0.667,2.3,1.5,1.5,5.8,2014-2015
Michael Carter-Williams,PHI,29.9,0.639,5.9,4,2.3,15.7,2014-2015
Omri Casspi,SAC,17.9,0.854,3.4,1.4,1.8,8.4,2014-2015
Mario Chalmers,MIA,31.2,0.778,2.5,4.8,3.5,14.6,2014-2015
Tyson Chandler,DAL,27.5,0.775,10.3,1.3,2.3,10.3,2014-2015
Wilson Chandler,DEN,29.3,0.792,5.8,1.5,3.3,12.6,2014-2015
Will Cherry,CLE,7.3,0.5,0.8,1.3,1.3,1.8,2014-2015
Ian Clark,UTA,5.8,1,0.5,0.2,0.5,2.7,2014-2015
Jordan Clarkson,LAL,12.2,0.81,1.4,0.7,1,5,2014-2015
Norris Cole,MIA,24.1,0.9,2.1,3.4,1.6,7.2,2014-2015
Darren Collison,SAC,35.3,0.822,3.5,7,1.8,15.9,2014-2015
Nick Collison,OKC,20.1,0.545,3.9,1.6,2.4,5.1,2014-2015
Mike Conley,MEM,32.2,0.825,2.6,6.1,2.2,16.2,2014-2015
Chris Copeland,IND,30.3,0.654,4.2,1.6,2.5,12.9,2014-2015
DeMarcus Cousins,SAC,31.7,0.802,12.3,2.1,4.6,23.1,2014-2015
Robert Covington,PHI,12,0.9,2,0.6,2.2,5.6,2014-2015
Allen Crabbe,POR,15.8,1,1.4,1,1.4,4.7,2014-2015
Jamal Crawford,LAC,28.3,0.887,1.9,3.3,2.3,17.6,2014-2015
Jae Crowder,DAL,9.5,0.875,0.7,0.5,0.8,3.7,2014-2015
Jared Cunningham,LAC,4.5,0.5,0.1,0.3,0.9,1.1,2014-2015
Stephen Curry,GSW,33.5,0.933,5.5,7.7,2.6,23.9,2014-2015
Samuel Dalembert,NYK,17.4,0.8,4.5,1.4,1.8,3.3,2014-2015
Troy Daniels,HOU,6.4,0.75,0.1,0.3,1.2,2.9,2014-2015
Brandon Davies,PHI,21.3,0.609,3.9,1.6,2.7,7.2,2014-2015
Anthony Davis,NOP,36.7,0.795,11.2,1.8,1.8,25.4,2014-2015
Ed Davis,LAL,22.2,0.414,6.6,0.7,3.5,8,2014-2015
Glen Davis,LAC,9.6,0.286,1.5,0.3,2.3,3.5,2014-2015
Andre Dawkins,MIA,4.3,NA,0.3,0,0.7,1,2014-2015
Austin Daye,SAS,12.5,1,2.7,0.7,1.6,4.2,2014-2015
Dewayne Dedmon,ORL,8.5,0.5,3.6,0.2,1.2,2.4,2014-2015
Matthew Dellavedova,CLE,19.7,NA,1,2.3,2.7,2.7,2014-2015
Luol Deng,MIA,32.4,0.674,4.6,1.4,1.6,14.8,2014-2015
DeMar DeRozan,TOR,34.6,0.809,4.3,2.7,1.8,20.2,2014-2015
Boris Diaw,SAS,28.1,0.8,5.5,3.4,2,9.4,2014-2015
Gorgui Dieng,MIN,23.6,0.806,7.4,1.1,2.3,8.4,2014-2015
Spencer Dinwiddie,DET,10.7,1,0.3,1.7,0.7,1.7,2014-2015
Joey Dorsey,HOU,6.3,0.25,1.8,0.2,1.6,0.9,2014-2015
Chris Douglas-Roberts,LAC,11.3,1,1.8,0.3,2.5,2,2014-2015
Goran Dragic,PHO,30.3,0.871,2.9,3.1,1.9,14.1,2014-2015
Zoran Dragic,PHO,2,NA,0,0,0,0,2014-2015
Andre Drummond,DET,28.7,0.439,11.5,0.4,3.9,9.7,2014-2015
Jared Dudley,MIL,18.2,0.75,1.8,1.3,1.2,4.1,2014-2015
Tim Duncan,SAS,29.8,0.734,10.6,2.7,1.8,13.4,2014-2015
Mike Dunleavy,CHI,30.5,0.771,3.9,2.1,1.7,10.6,2014-2015
Cleanthony Early,NYK,7.7,1,1,0.6,0.9,2.7,2014-2015
Wayne Ellington,LAL,18.7,0.667,3,0.6,0.9,7.9,2014-2015
Monta Ellis,DAL,32.4,0.779,2.7,4.7,2.7,19.8,2014-2015
James Ennis,MIA,13.8,0.875,2.5,0.8,1.5,3.6,2014-2015
Tyler Ennis,PHO,9,NA,0.5,1.5,0.5,1,2014-2015
Jeremy Evans,UTA,2.6,NA,0.4,0.2,0,0.4,2014-2015
Reggie Evans,SAC,14.3,0.625,5.8,0.7,2.2,2.9,2014-2015
Tyreke Evans,NOP,34.7,0.638,6.2,6.2,2.8,15.5,2014-2015
Dante Exum,UTA,18.4,0.588,1.7,2.6,2,4.9,2014-2015
Festus Ezeli,GSW,10.1,0.545,2.7,0.3,2.5,3.3,2014-2015
Kenneth Faried,DEN,26.1,0.652,7.1,1.1,2.2,11.6,2014-2015
Jordan Farmar,LAC,14.2,1,1.1,1.9,1.5,3.8,2014-2015
Derrick Favors,UTA,30.7,0.667,8.9,1.5,3.1,16,2014-2015
Landry Fields,TOR,4.4,NA,0.4,0.2,0,2,2014-2015
Evan Fournier,ORL,34.1,0.708,2.4,2.5,2.4,16.5,2014-2015
Randy Foye,DEN,19,0.789,1.4,2,2,8.4,2014-2015
Jimmer Fredette,NOP,10.9,1,0.4,1,1.1,2.5,2014-2015
Joel Freeland,POR,10.3,0.889,2.8,0.3,2.1,2.9,2014-2015
Channing Frye,ORL,32.9,0.875,5.4,1.7,2.9,9.4,2014-2015
Danilo Gallinari,DEN,19.4,0.895,3.1,1.3,1.4,7.7,2014-2015
Francisco Garcia,HOU,11.9,0.333,0.9,0.6,1,2.5,2014-2015
Kevin Garnett,BRK,23.8,1,8.3,1.8,2.8,7.3,2014-2015
Marc Gasol,MEM,35.1,0.83,8.1,3.1,2.4,19.9,2014-2015
Pau Gasol,CHI,35.2,0.754,10.5,2.2,1.8,19.3,2014-2015
Rudy Gay,SAC,36.7,0.875,6.5,3.8,2.3,21.1,2014-2015
Alonzo Gee,DEN,12.8,0.667,1.8,0.3,0.7,3.8,2014-2015
Taj Gibson,CHI,29,0.594,5.8,1.7,3.3,12.4,2014-2015
Manu Ginobili,SAS,24.3,0.814,2.3,3.9,1.8,10.6,2014-2015
Rudy Gobert,UTA,15.8,0.7,4.6,0.5,1.7,5.1,2014-2015
Drew Gooden,WAS,18.3,0.5,3.9,0.8,1.8,7.3,2014-2015
Archie Goodwin,PHO,7.3,0.8,1.2,0.5,1,2.8,2014-2015
Aaron Gordon,ORL,15,0.667,3,0.6,1.4,5.8,2014-2015
Ben Gordon,ORL,15.2,0.792,1.2,1.3,1.2,6,2014-2015
Drew Gordon,PHI,8.4,0.5,2,0.3,0.7,2.4,2014-2015
Eric Gordon,NOP,31,0.7,2.3,2,2.6,9.5,2014-2015
Marcin Gortat,WAS,30.8,0.656,9.1,1,2.5,12.5,2014-2015
Danny Granger,MIA,13.5,NA,1,0,1,3,2014-2015
Danny Green,SAS,29.4,1,3.6,1.5,2,11.2,2014-2015
Draymond Green,GSW,32.2,0.744,7.4,3.2,3.2,12.4,2014-2015
Erick Green,DEN,9,NA,1,1,1,6,2014-2015
Gerald Green,PHO,20.9,0.889,2.8,1.1,2.1,14.1,2014-2015
Jeff Green,BOS,35.2,0.839,5.1,2,1.9,18.4,2014-2015
Willie Green,ORL,16.2,0.75,1.1,1,1.4,4,2014-2015
Blake Griffin,LAC,35.2,0.679,7.5,3.9,3.3,22.2,2014-2015
Jorge Gutierrez,BRK,2,NA,0.4,0.2,0.6,0.8,2014-2015
P.J. Hairston,CHO,13.9,0.833,1.4,0.9,1.6,5.4,2014-2015
Justin Hamilton,MIA,13,1,2.5,0.5,1.7,3.2,2014-2015
Tyler Hansbrough,TOR,17.5,0.708,3.8,0.4,2.4,3.4,2014-2015
Tim Hardaway,NYK,17.7,0.826,0.9,1.2,1.3,9.1,2014-2015
James Harden,HOU,37.1,0.9,6.4,6.6,2.6,25.2,2014-2015
Maurice Harkless,ORL,17.5,0.667,2.7,0.7,2.3,4.3,2014-2015
Devin Harris,DAL,22.8,0.813,1.5,4,1.7,8.2,2014-2015
Gary Harris,DEN,11.7,0,1,0.7,1,4.3,2014-2015
Joe Harris,CLE,14,0.75,1.2,0.9,2.3,3,2014-2015
Tobias Harris,ORL,36.6,0.815,8.4,1.8,3.2,18.8,2014-2015
Udonis Haslem,MIA,13,1,4.4,0.4,1.8,4.5,2014-2015
Spencer Hawes,LAC,17.6,0.72,4.5,0.9,1.9,6.8,2014-2015
Chuck Hayes,TOR,10.6,0.5,1.9,1.3,1.8,1.4,2014-2015
Gordon Hayward,UTA,34.3,0.859,5.5,4.1,2,18.2,2014-2015
Brendan Haywood,CLE,4.8,NA,1.3,0,1,1,2014-2015
Gerald Henderson,CHO,21.5,0.909,2.1,1.4,1.2,5.7,2014-2015
Xavier Henry,LAL,9.6,0.583,0.4,0.3,0.7,2.2,2014-2015
John Henson,MIL,12.2,0.7,2.7,0.5,1.3,4.2,2014-2015
Roy Hibbert,IND,28.4,0.821,7.8,1.8,2.5,13.1,2014-2015
J.J. Hickson,DEN,16,0.526,7.2,1.3,2.7,7,2014-2015
Nene Hilario,WAS,27.1,0.542,4.7,2.5,2.9,10.6,2014-2015
Jordan Hill,LAL,31.1,0.782,10,1.9,3.1,13.9,2014-2015
Solomon Hill,IND,34.1,0.771,5.9,1.6,2.3,12.1,2014-2015
Kirk Hinrich,CHI,28.6,0.714,1.7,4.1,2.7,9.4,2014-2015
Jrue Holiday,NOP,33.6,0.914,2.9,6.5,3,15,2014-2015
Justin Holiday,GSW,5.3,0.5,0.2,0.3,0.5,0.7,2014-2015
Ryan Hollins,SAC,1.6,1,0.4,0.1,0.9,0.9,2014-2015
Rodney Hood,UTA,15.2,1,3.3,1,1.2,4,2014-2015
Al Horford,ATL,29.2,0.818,6.4,2.4,2.3,13.3,2014-2015
Dwight Howard,HOU,33.5,0.462,11.3,1.3,4.1,18.8,2014-2015
Robbie Hummel,MIN,13.8,0.5,2.2,0.3,1.8,3.1,2014-2015
Kris Humphries,WAS,16.2,0.667,5.2,0.8,1.7,6.8,2014-2015
Serge Ibaka,OKC,33.7,0.81,7.9,1,3.1,15.6,2014-2015
Andre Iguodala,GSW,26.8,0.471,3,2.2,1.5,6.7,2014-2015
Ersan Ilyasova,MIL,18.3,0.625,3.5,0.9,2.5,8.7,2014-2015
Joe Ingles,UTA,17.8,0.5,1.5,1.8,0.9,3.2,2014-2015
Kyrie Irving,CLE,37.8,0.857,3.2,4.8,2,21.1,2014-2015
Jarrett Jack,BRK,25.9,0.857,3,3.2,2.1,10.8,2014-2015
Reggie Jackson,OKC,39.3,0.852,5.3,7.8,3.1,20.1,2014-2015
LeBron James,CLE,38,0.777,5.8,7.2,1.7,25,2014-2015
Al Jefferson,CHO,33.2,0.635,7.5,1.7,2.3,20.7,2014-2015
Cory Jefferson,BRK,3.4,0.667,0.6,0.2,0.4,2,2014-2015
Richard Jefferson,DAL,10.8,0.7,2.3,0.6,1.4,2.8,2014-2015
John Jenkins,ATL,21,1,1,0,0,12,2014-2015
Brandon Jennings,DET,29,0.811,2.7,5.8,1.8,16,2014-2015
Jonas Jerebko,DET,15.8,1,2.3,0.6,1.9,6.3,2014-2015
Amir Johnson,TOR,25.3,0.625,4.8,1.5,2.9,8.5,2014-2015
Chris Johnson,PHI,20.8,0.75,2.9,0.3,2.1,6,2014-2015
James Johnson,TOR,18,0.75,3.5,1.7,2.1,6.9,2014-2015
Joe Johnson,BRK,35.2,0.795,5,4,2.1,16.6,2014-2015
Nick Johnson,HOU,3.7,1,0.3,0,0.7,0.7,2014-2015
Wesley Johnson,LAL,32.6,0.9,3.6,1.2,2.4,7.8,2014-2015
James Jones,CLE,5,NA,1,0.3,0,2,2014-2015
Perry Jones,OKC,32.8,0.737,3.8,1.2,2.6,15,2014-2015
Terrence Jones,HOU,29.3,0.75,7.5,1.5,4,14,2014-2015
DeAndre Jordan,LAC,33.5,0.44,11.5,0.7,2.8,8.4,2014-2015
Jerome Jordan,BRK,8.2,1,2.5,0.3,1.1,2.7,2014-2015
Cory Joseph,SAS,17.5,0.708,2.3,2.1,1.7,7.8,2014-2015
Chris Kaman,POR,19.1,0.706,6.9,0.6,2.3,10.9,2014-2015
Enes Kanter,UTA,24.1,0.765,6.4,0.7,2.3,13.3,2014-2015
Sergey Karasev,BRK,3.4,1,0.8,0.6,0.2,0.4,2014-2015
Ryan Kelly,LAL,8.3,1,1.7,0.3,0.7,3.7,2014-2015
Michael Kidd-Gilchrist,CHO,23.3,0.704,5.5,1.3,2.2,9.8,2014-2015
Andrei Kirilenko,BRK,5.1,0.75,1.1,0.1,0.1,0.4,2014-2015
Alex Kirk,CLE,1.5,1,0,0.5,0,1,2014-2015
Brandon Knight,MIL,33.4,0.866,5.1,6.5,2,18.2,2014-2015
Kyle Korver,ATL,33.9,0.926,4.1,2.9,2.4,12.6,2014-2015
Kosta Koufos,MEM,14.4,0.733,3.8,0.5,1.7,4.2,2014-2015
Ognjen Kuzmic,GSW,5.2,NA,1.2,0,1.2,0.4,2014-2015
Jeremy Lamb,OKC,28.2,0.913,4.3,2.1,2.3,11,2014-2015
Carl Landry,SAC,19.6,0.865,4,0.5,2.5,8.9,2014-2015
Shane Larkin,NYK,26.1,0.909,1.8,2.7,2.4,5.7,2014-2015
Zach LaVine,MIN,19.1,0.917,2.2,2.3,2.1,5.3,2014-2015
Ty Lawson,DEN,35.8,0.72,2.5,9.8,1.3,16.6,2014-2015
Courtney Lee,MEM,33.2,0.889,3,2.4,1.3,13.8,2014-2015
David Lee,GSW,7,NA,0,0,0,6,2014-2015
Alex Len,PHO,19.2,0.895,5.2,0.5,3.2,5.9,2014-2015
Kawhi Leonard,SAS,30.7,0.805,7.5,2.2,2.1,13.6,2014-2015
Meyers Leonard,POR,9.2,1,3.2,0.5,1,3.3,2014-2015
Jon Leuer,MEM,13.5,0.667,3.2,0.8,1.2,5.2,2014-2015
Damian Lillard,POR,34.8,0.95,5.4,6.5,2.2,19.9,2014-2015
Jeremy Lin,LAL,30.6,0.87,2.7,4.9,3,12.1,2014-2015
Shaun Livingston,GSW,14.8,0.875,1.4,2.1,1.1,3.3,2014-2015
Brook Lopez,BRK,29.3,0.857,5.4,0.6,3.1,15.3,2014-2015
Robin Lopez,POR,27.6,0.818,7.1,1.2,2.4,11.6,2014-2015
Kevin Love,CLE,35.8,0.831,9.8,2.6,2.9,16.2,2014-2015
Kyle Lowry,TOR,33.5,0.79,5,6.1,3.1,18.4,2014-2015
Kalin Lucas,MEM,6,NA,0,0,1,0,2014-2015
Shelvin Mack,ATL,13.1,0.833,1.4,2.6,0.5,4.2,2014-2015
Ian Mahinmi,IND,18,0.348,5.4,0.6,2.5,5,2014-2015
Devyn Marble,ORL,1.3,0,0.3,0,0.3,1,2014-2015
Shawn Marion,CLE,23.8,0.833,3.8,1.1,1.1,5.5,2014-2015
Kendall Marshall,MIL,11.8,NA,0.4,1.8,0.6,2.2,2014-2015
Cartier Martin,DET,2,NA,0,0,0,0,2014-2015
Kevin Martin,MIN,29.8,0.875,3.7,1.9,2.7,20.4,2014-2015
Wesley Matthews,POR,32.8,0.667,4.2,2.8,2.4,15.5,2014-2015
Jason Maxiell,CHO,12.1,0.25,1.9,0,1.5,2.6,2014-2015
O.J. Mayo,MIL,24.2,0.861,2.2,3.4,2.3,11.3,2014-2015
Luc Mbah a Moute,PHI,26.7,0.524,5.3,1.5,1.8,8,2014-2015
Ray McCallum,SAC,8.8,0.833,0.8,0.4,1.3,3.6,2014-2015
C.J. McCollum,POR,13.1,0.706,1.1,1.1,1.3,5,2014-2015
K.J. McDaniels,PHI,22.7,0.704,2.3,1,2.3,8.9,2014-2015
Doug McDermott,CHI,12.6,0.5,1.9,0.1,0.9,3.6,2014-2015
JaVale McGee,DEN,11.5,0.739,3,0,1.8,5.6,2014-2015
Ben McLemore,SAC,31.1,0.867,3.6,0.9,2.4,10.2,2014-2015
Josh McRoberts,MIA,13,0.5,2.5,0.7,2.4,2.5,2014-2015
Khris Middleton,MIL,23.8,0.833,3.3,1.3,2.1,8.2,2014-2015
C.J. Miles,IND,23.4,0.909,1.6,1.9,2,7.4,2014-2015
Andre Miller,WAS,12.4,0.636,1.4,2.8,1.5,4.1,2014-2015
Darius Miller,NOP,8.6,NA,0.2,0.4,1.6,0.4,2014-2015
Mike Miller,CLE,11.7,NA,1.7,0.3,1.4,1.2,2014-2015
Paul Millsap,ATL,35,0.644,8.6,2.9,2.9,17.7,2014-2015
Nikola Mirotic,CHI,15.7,0.75,4.1,0.9,2.4,5.8,2014-2015
Nazr Mohammed,CHI,11,0.5,3.3,0.3,1.7,1.7,2014-2015
Greg Monroe,DET,31.5,0.756,10.1,2.3,1.9,15.3,2014-2015
E'Twaun Moore,CHI,4.1,0,0.7,0.6,0.1,1.3,2014-2015
Marcus Morris,PHO,25.2,0.733,3.6,1.5,2.7,9.7,2014-2015
Markieff Morris,PHO,30.6,0.765,6.1,2.1,2.9,15.1,2014-2015
Anthony Morrow,OKC,28.9,0.737,3.6,0.8,2.9,12.1,2014-2015
Donatas Motiejunas,HOU,23.9,0.7,5.8,1.1,3,6.6,2014-2015
Timofey Mozgov,DEN,25.1,0.711,7.4,0.4,3.4,9.2,2014-2015
Shabazz Muhammad,MIN,14.9,0.613,3,0.4,1.2,8.2,2014-2015
Mike Muscala,ATL,11.3,0.8,2,0,1,5.7,2014-2015
Shabazz Napier,MIA,23.1,0.731,2.7,2.3,2,7.3,2014-2015
Gary Neal,CHO,24.8,0.891,2.8,1.5,1.8,12.3,2014-2015
Jameer Nelson,DAL,25.9,0.75,2.4,4.6,2.3,7.6,2014-2015
Andrew Nicholson,ORL,8.5,1,1,0.5,0.5,3.1,2014-2015
Joakim Noah,CHI,31.1,0.6,9.2,4.3,3.2,7.9,2014-2015
Nerlens Noel,PHI,29.4,0.367,6.4,1.9,2.6,7.9,2014-2015
Lucas Nogueira,TOR,9,0,5,0,3,2,2014-2015
Steve Novak,UTA,4.8,NA,0.8,0.2,0.6,2.1,2014-2015
Dirk Nowitzki,DAL,27.7,0.846,5.5,2.1,2.2,19,2014-2015
Jusuf Nurkic,DEN,8.9,0.615,3.6,0.5,2.8,4,2014-2015
Kyle O'Quinn,ORL,21,NA,2,5,4,4,2014-2015
Victor Oladipo,ORL,30.3,0.714,4.7,3.1,2.3,13.6,2014-2015
Kelly Olynyk,BOS,26.4,0.75,6.1,1.7,3.9,11.8,2014-2015
Zaza Pachulia,MIL,19.9,0.833,4.9,1.6,2.8,6.1,2014-2015
Kostas Papanikolaou,HOU,25.3,0.7,4.6,2.9,2.1,6.1,2014-2015
Jannero Pargo,CHO,9.3,1,0.3,0,1,5.5,2014-2015
Jabari Parker,MIL,29.3,0.611,5.9,1.1,1.4,11.7,2014-2015
Tony Parker,SAS,32,0.805,1.8,5.2,1.3,16.8,2014-2015
Chandler Parsons,DAL,31.9,0.733,4.7,2.2,2.1,14.2,2014-2015
Patrick Patterson,TOR,24.6,0.917,4.8,1.8,1.6,6.9,2014-2015
Chris Paul,LAC,35.6,0.84,4.5,9.9,2.5,18.6,2014-2015
Elfrid Payton,ORL,23.8,0.447,3.3,4.9,2.3,6.4,2014-2015
Nikola Pekovic,MIN,26.7,0.886,8.1,0.7,1.9,11.9,2014-2015
Kendrick Perkins,OKC,20.1,0.484,5.3,0.6,2.2,4.7,2014-2015
Paul Pierce,WAS,27.5,0.875,5.5,2.5,2.4,13.2,2014-2015
Mason Plumlee,BRK,13.7,0.486,4.9,0.5,1.9,4.9,2014-2015
Miles Plumlee,PHO,22.9,0.833,6.2,0.7,2.6,5.5,2014-2015
Quincy Pondexter,MEM,18,0.733,1.6,1,1.7,4.8,2014-2015
Otto Porter,WAS,24,0.789,3.3,1,1.5,7.9,2014-2015
Dwight Powell,BOS,1.5,NA,0,0,0.5,1,2014-2015
Phil Pressey,BOS,12.9,1,1.1,2.4,1,2.6,2014-2015
A.J. Price,IND,19.1,0.667,1.3,2.4,1,10.4,2014-2015
Ronnie Price,LAL,21,0.765,2.2,3.8,2.8,3.3,2014-2015
Pablo Prigioni,NYK,20.6,0.75,1.7,2,1.2,6.2,2014-2015
Tayshaun Prince,MEM,22.9,0.7,2.9,0.8,0.9,7.1,2014-2015
Julius Randle,LAL,14,0,0,0,1,2,2014-2015
Shavlik Randolph,PHO,6.3,0.333,1.6,0.3,1.1,0.6,2014-2015
Zach Randolph,MEM,32.2,0.82,11.8,1.5,2.7,16.1,2014-2015
J.J. Redick,LAC,28.5,0.905,1.6,1.5,1.7,12.5,2014-2015
Glen Rice,WAS,8.6,0.667,0.8,0.4,2.2,2.2,2014-2015
Luke Ridnour,ORL,17.6,0.833,2.1,2.9,1.9,5,2014-2015
Austin Rivers,NOP,22.1,0.71,2,2.2,2.2,7.5,2014-2015
Andre Roberson,OKC,25.9,0.8,5.3,2,2.7,4.7,2014-2015
Brian Roberts,CHO,17.5,1,1,2.4,0.7,5.5,2014-2015
Glenn Robinson,MIN,3.8,0.5,0.5,0.3,0,1.3,2014-2015
Nate Robinson,DEN,13.9,0.727,1.3,2.1,2.2,5.7,2014-2015
Thomas Robinson,POR,8,0.4,3.1,0,1.5,2,2014-2015
Rajon Rondo,BOS,32.7,0.346,7.5,10.7,1.9,10.1,2014-2015
Derrick Rose,CHI,24.9,0.789,2.4,5,1.1,15.7,2014-2015
Terrence Ross,TOR,26.4,0.933,2.8,1.1,1.9,10.9,2014-2015
Ricky Rubio,MIN,28.8,0.6,5.6,10,3.8,9.4,2014-2015
Damjan Rudez,IND,18.1,0.667,0.7,0.9,1.3,4.8,2014-2015
Brandon Rush,GSW,7.1,NA,0.9,0.3,0.5,0.5,2014-2015
Robert Sacre,LAL,11,0.722,1.6,0.5,1.2,5.3,2014-2015
John Salmons,NOP,8,NA,0.7,0.3,1.3,1,2014-2015
JaKarr Sampson,PHI,11.2,0.5,1.7,0.7,1.6,2,2014-2015
Larry Sanders,MIL,21.8,0.45,7,0.7,3.9,6.5,2014-2015
Dennis Schröder,ATL,16.4,0.833,1.7,2.6,0.6,7.4,2014-2015
